"killer_x","killer_y","killer_z","victim_x","victim_y","victim_z","killer_side","victim_side","match_checksum"
-736.301697,-2191.713623,-179.96875,-71.568176,-1903.928833,-167.96875,3,2,"472ac3e23ebc878b"
-508.428711,-1500.761841,-39.96875,-160.083984,-1792.789673,-167.96875,3,2,"472ac3e23ebc878b"
-783.426575,-2116.61084,-179.96875,-445.379517,-2343.31543,-167.96875,2,3,"472ac3e23ebc878b"
-600.654175,-1211.917725,-167.96875,-892.635559,-2358.034912,-167.96875,3,2,"472ac3e23ebc878b"
-1072.157471,-2509.004883,-167.96875,-678.67572,-2080.793213,-53.96875,3,2,"472ac3e23ebc878b"
-534.438232,-1548.422607,-39.96875,-151.915588,-1585.551514,-53.96875,3,2,"472ac3e23ebc878b"
-198.564148,-2162.4104,-169.281433,-93.541382,-1844.850464,-167.96875,3,2,"472ac3e23ebc878b"
-1292.464722,-2417.612549,-197.82019,87.16333,-2075.26416,-39.96875,3,2,"472ac3e23ebc878b"
-215.630737,-2156.383057,-170.530579,16.655987,-1482.607422,-171.234192,3,2,"472ac3e23ebc878b"
-234.055298,-2161.582031,-171.385986,86.185921,-1434.193726,-175.96875,3,2,"472ac3e23ebc878b"
740.023193,-1533.036743,-263.59314,165.063339,-1569.11145,-174.257446,2,3,"472ac3e23ebc878b"
1212.202271,-736.308289,-232.066895,1353.989136,162.578384,-163.96875,2,3,"472ac3e23ebc878b"
1203.24707,248.653824,-195.96875,1211.914551,-713.617432,-227.604065,3,2,"472ac3e23ebc878b"
-908.455566,-746.548523,-261.946777,-1046.434937,-65.52478,-367.96875,3,2,"472ac3e23ebc878b"
-2375.036133,716.907776,-39.71875,-1464.657349,694.707764,-47.96875,3,2,"472ac3e23ebc878b"
-711.441467,-490.930054,-164.437622,502.096924,-289.419312,-160.030151,3,2,"472ac3e23ebc878b"
332.699799,7.08108,-202.192322,-116.320312,-790.021545,-217.021973,2,3,"472ac3e23ebc878b"
-626.186096,-843.522522,-262.203796,-973.200195,-535.154907,-287.014893,3,2,"472ac3e23ebc878b"
-137.377747,-444.764526,-167.637939,389.120483,-86.976746,-177.182617,3,2,"472ac3e23ebc878b"
-1021.68103,-69.971558,-167.96875,232.906738,-935.908264,-158.378845,3,2,"472ac3e23ebc878b"
498.489777,-2252.707031,-39.96875,16.062893,-2287.093262,-39.96875,2,3,"472ac3e23ebc878b"
-884.39856,294.657227,-167.690002,-673.024658,-939.299683,-215.96875,3,2,"472ac3e23ebc878b"
-628.642639,-420.579895,-168.015015,-922.267029,286.509888,-168.063171,2,3,"472ac3e23ebc878b"
-796.092834,-2346.868164,-174.855103,-624.065796,-1213.588379,-167.96875,3,2,"472ac3e23ebc878b"
-707.464661,-1162.272217,-167.96875,-794.278992,-2347.267334,-174.998596,2,3,"472ac3e23ebc878b"
86.107231,-1981.478882,-39.96875,-938.756836,-1527.84082,-167.96875,2,3,"472ac3e23ebc878b"
-815.821045,-1792.592285,-151.933899,-585.161865,-1349.309448,-167.96875,2,3,"472ac3e23ebc878b"
-737.029358,-20.95166,-143.96875,-908.62677,-788.199219,-221.96875,3,2,"472ac3e23ebc878b"
-1176.133179,-169.041382,-54.8125,-1184.959717,-1029.238281,-167.96875,2,3,"472ac3e23ebc878b"
-57.53186,-382.31427,-165.96875,-719.579712,-894.565674,-236.682251,2,3,"472ac3e23ebc878b"
-1151.418701,706.770508,-79.96875,-1925.707397,745.674438,-47.96875,2,3,"472ac3e23ebc878b"
-1632.896851,692.66394,-47.96875,-1611.593384,-146.269409,-167.509399,2,3,"472ac3e23ebc878b"
-603.48999,-363.342102,-167.983398,-801.377869,-2231.806885,-179.499146,2,3,"472ac3e23ebc878b"
-1181.60376,-925.630615,-167.96875,-1155.320679,-200.000854,-54.8125,2,3,"472ac3e23ebc878b"
-717.990417,-1118.192627,-172.868774,-686.060974,-1306.223389,-167.96875,2,3,"472ac3e23ebc878b"
-1259.961914,-1301.484253,-167.96875,130.424088,-1938.559326,-39.96875,2,3,"472ac3e23ebc878b"
